attribution_id,incident_id,attribution_year,attribution_month,attribution_day,attribution_date,attribution_basis,attribution_type,attributing_country,attributing_actor,settled_attribution,initiator_name,initiator_alpha_2,initiator_country,initiator_category,initiator_subcategory
152,112,2009.0,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,,RU,Russia,State affiliated actor,
153,113,,,,,Receiver attributes attacker,Statement in media report and political statement/technical report,,,,,CN,China,,
154,114,,,,,Media-based attribution,"Attribution given, type unclear",,,,,,,,
155,115,,,,,Media-based attribution,"Attribution given, type unclear",,,,,,,,
156,116,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,,KR,"Korea, Republic of",Non-state-group,Hacktivist(s)
157,117,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,,JP,Japan,Non-state-group,Hacktivist(s)
163,121,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,,CN,China,Non-state-group,Hacktivist(s)
164,122,,,,,Media-based attribution,"Attribution given, type unclear",,,,,RU,Russia,,
170,126,,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,,CN,China,,
171,127,2012.0,,,,Media-based attribution,"Attribution given, type unclear",,,,,"IL, US","Israel, United States",State,
172,127,2012.0,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,,,,State affiliated actor,
173,127,2012.0,,,,Attribution by third-party,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",,,,,"IL, US","Israel, United States",State,
174,128,2016.0,,,,Attribution by receiver government / state entity,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",,,,,CN,China,State affiliated actor,
175,129,2011.0,,,,Attribution by third-party,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,,MY,Malaysia,State affiliated actor,
176,130,2014.0,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,"Turla/Waterbug/Venomous Bear/Snake/Uroburos/Group 88/Secret Blizzard fka KRYPTON/G0010/UAC-0003 (FSB Centre 16, Unit 71330)",RU,Russia,State affiliated actor,
177,131,2011.0,,,,Attribution by receiver government / state entity,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",,,,Inter-Services Intelligence,PK,Pakistan,State,
178,132,2015.0,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,Emissary Panda/APT27/Lucky Mouse/BRONZE UNION/TEMP.Hippo/Group 35/TG-3390/Iron Tiger/ZipToken/G0027,CN,China,State affiliated actor,"Non-state-group, state-affiliation suggested (widely held view for the attributed initiator (group), but not invoked in this case)"
181,134,2013.0,,,,Attribution by third-party,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,GCHQ,GB,United Kingdom,State,
